MSA2000s,t_Pop_growth00_10,t_Income_growth00_10,t_hous_growth00_10,t_per_capita,t_medianvalue,t_density_pop,t_density_hhd,t_totpop,t_urban_pop,t_white,t_black,t_indian,t_asian_pac,t_other_race,t_hispanic,t_male,t_female,t_age0_17,t_age18_24,t_age25_34,t_age35_44,t_age45_54,t_age55_64,t_age65_74,t_age75over,t_m_ownkids,t_f_ownkids,t_hhder15_24,t_hhder25_34,t_hhder35_44,t_hhder45_54,t_hhder55_64,t_hhder65_74,t_hhder75over,t_hhd_1p,t_hhd_2p,t_hhd_3p,t_hhd_4p,t_hhd_5p,t_hhd_6more,t_owner_hous,t_renter_hous,t_work_inresidence,t_work_outresidence,t_work_notinplace,t_lccity,t_trans_priv,t_trans_public,t_trans_other,t_work_athome,t_traveltime5,t_traveltime5_14,t_traveltime15_29,t_traveltime30_44,t_traveltime45_59,t_traveltime60_89,t_traveltime90more,t_edu_9,t_edu_12,t_edu_hs,t_edu_coll,t_edu_assoc,t_edu_bachel,t_edu_grad,t_employed,t_unemployed,t_notlabor,t_hhdincome20k,t_hhdincomek20_30,t_hhdincomek30_40,t_hhdincomek40_50,t_hhdincomek50_60,t_hhdincomek60_75,t_hhdincomek75_100,t_hhdincomek100over,t_poverty_below,t_Vehic_0,t_Vehic_1,t_Vehic_2,t_Vehic_3,t_Vehic_4more,t_nevermarried,t_married_notsepar,t_married_separated,t_widowed,t_divorced,t_vehic_perhhd,w722,w4451,L722,L4451,Share100_4445_72,Sr4451_100,Sr722_120,Nr4451_100,Nr722_120,Share4451_722,Groc_non_food,Groc_food,Groc_non_food1,Groc_food1,S100_H,S120_H,pq_g,pq_r,pqr_nonfood,pqr_food
"Abilene, TX MSA",0.0056221849,0.0383341532,0.008817117,15560.5,55650,135.95,50.327214012,124485,0.8604333809,0.8155851109,0.0660310625,0.0051826074,0.0123556345,0.1008455847,0.1674041776,0.485218911,0.514781089,0.2679199243,0.1369825031,0.1438238699,0.1428569357,0.107155922,0.0782644512,0.0656307267,0.0573656671,0.0178989477,0.0634480606,0.0978261925,0.1931837944,0.2082319773,0.1633947884,0.1228870252,0.1132997573,0.1005944921,0.2537948358,0.328432898,0.1701842318,0.1485082072,0.0660636746,0.0330161526,0.6174135456,0.3825864544,0.8172916118,0.1101413311,0.0725670571,0.8816265051,0.9338354352,0.0052090672,0.0398966451,0.0210588524,0.0491654069,0.4426543553,0.3924070605,0.0566584929,0.0109997261,0.0111685548,0.015887551,0.0775003335,0.1275709405,0.2847075677,0.238283235,0.0525711435,0.1464149331,0.0729518468,0.5672947069,0.0477859464,0.336263324,0.3098039141,0.1736766408,0.1475063241,0.1120537015,0.0773969453,0.0699162216,0.0595059747,0.0494842686,0.1411904817,0.0600116658,0.3717537242,0.41711976,0.116431304,0.0346835459,0.2343518592,0.5499845959,0.0498761797,0.0667732134,0.0990141518,1.7060390524,7.4599442009,15.917721519,20.908333333,31.6,0.5895291427,3779.5666667,529.7012987,0.6510119982,5.0127923858,0.5523452672,1.1057004781,2.4802689114,1698.4333333,3809.8666667,4.0550669349,2.8234173356,3.5859693894,2.9062911629,0.2364475577,2.6698436052
"Akron, OH PMSA",0.0055448626,0.0477417422,0.009608727,19818.9,96570,755.38,294.68966882,683744.5,0.8572381994,0.8675975744,0.1066983456,0.0019919776,0.0117709007,0.0119412016,0.0076570854,0.4823610566,0.5176389434,0.2466861869,0.1019979148,0.1421848347,0.1586837693,0.1293151169,0.0886200079,0.0727556587,0.0597565108,0.0150865966,0.0631946897,0.0538870762,0.1779531237,0.2234126009,0.1903012038,0.1350524516,0.1203786446,0.0998755603,0.2630161763,0.3361915057,0.1677863534,0.1435949301,0.061170397,0.0282406375,0.7001697045,0.2998302955,0.2677094864,0.5130187294,0.2192717842,0.3446408488,0.9322429485,0.0144564575,0.029302385,0.023998209,0.0307704638,0.2708398664,0.4032511593,0.1698523688,0.0597172316,0.0279203515,0.0136503495,0.0397018308,0.1245144503,0.3498039025,0.2073136953,0.0509218244,0.1519694198,0.0757748768,0.6215756598,0.0351335768,0.3425627741,0.2460316151,0.1441334525,0.1349506817,0.1105448636,0.0918732838,0.0982655309,0.0878032779,0.0873677147,0.1021712513,0.0795671375,0.3274212207,0.4054537289,0.1345002715,0.0530576414,0.2692684239,0.5306318564,0.0250192977,0.0710026539,0.104077768,1.7807593893,8.113997925,16.135989011,17.366366366,32.76,0.6000339142,3463.175,496.55499154,0.7498106728,4.4313810763,0.5814525024,0.8256465243,2.6212406367,1101.14,3495.87,3.4624719758,2.3079884829,3.446887161,2.4811760031,0.2755216808,2.2056543223
"Albany--Schenectady--Troy, NY MSA",0.0001461916,0.0393130004,0.0042249017,20162.2,101330,270.92,107.11030029,875199.3,0.6730921099,0.9056988451,0.0568175062,0.0020334847,0.0165286842,0.0189214798,0.0244609039,0.4843248578,0.5156751422,0.2369771836,0.1013185842,0.1414402473,0.1588003246,0.1307341974,0.0883733767,0.0732432584,0.0691128278,0.0170342021,0.0598608878,0.0500719752,0.1742250692,0.2202232638,0.1906768762,0.1338723365,0.1195083282,0.1114176843,0.2862862053,0.3293689129,0.1643643115,0.1388766312,0.0560183187,0.0250856204,0.6444137625,0.3555862375,0.1759194324,0.3252448872,0.4988356804,0.4073729635,0.8879854645,0.0357025944,0.0482496354,0.0280623056,0.035291421,0.2698783469,0.3998255985,0.1771617367,0.0521707217,0.02420979,0.0134000796,0.0517791817,0.1099464268,0.3069291428,0.1672191085,0.0964928936,0.1496726926,0.117960554,0.6175904708,0.0358236359,0.34382401,0.231502155,0.1417458646,0.1327845201,0.1123201292,0.0938387974,0.1032348012,0.0944318282,0.0905131327,0.0890137965,0.1149390834,0.3629025233,0.3854143388,0.1038775731,0.0328664815,0.2868382891,0.5074835768,0.0486739392,0.0775229083,0.0794812866,1.5906829445,9.0859797222,11.376266583,12.376451078,40.222689076,0.6272574866,3634.0546218,358.57217391,0.6879692391,4.98633167,0.5976002889,0.5637185258,2.5163891327,819.39495798,3657.7058824,3.3668289561,2.000709938,3.0801076585,2.0740191307,0.2569796358,1.8170394949
"Albuquerque, NM MSA",0.0401996258,0.0394952901,0.0401215775,18095.7,108540,207.56,80.134528077,643089.7,0.8745045472,0.7181189133,0.0256948327,0.0494500375,0.0162783891,0.1904578274,0.4023861902,0.4891520109,0.5108479891,0.2625993175,0.1000234082,0.1539701342,0.1626750715,0.1280146612,0.08219722,0.0613137376,0.0492064499,0.0254804218,0.0685796612,0.0637817618,0.1940921653,0.2350442862,0.1957149013,0.1278022226,0.1020182042,0.0813249932,0.2653574024,0.3269706907,0.1674843307,0.1401645829,0.0625580024,0.0374649908,0.6552221811,0.3447778189,0.6601070091,0.2618418246,0.0780511664,0.7871559271,0.9076157502,0.0139691204,0.0423004433,0.0361146861,0.0247524364,0.2476839751,0.4511058839,0.1611800313,0.04172986,0.0229935703,0.014439557,0.0635843762,0.1030478493,0.2645343747,0.2320249742,0.057993713,0.1625180644,0.1162966481,0.6068737797,0.0395322973,0.3439995119,0.2704095935,0.1553489981,0.1375746061,0.109408739,0.083296895,0.0863022336,0.0793158014,0.0782158401,0.1378893209,0.0651396825,0.3545636022,0.3908851068,0.1378092173,0.0516023911,0.2822336435,0.5042998642,0.0318924927,0.0571443196,0.12442968,1.7785978881,8.7634475597,18.1,19.896694215,41.698113208,0.5317961499,4940.1698113,542.8288908,0.4270849198,4.6858468087,0.5003438194,0.8319009872,2.1232325332,1947.8584906,4971.4528302,3.1266766105,2.7527879378,2.9551335204,2.9510721846,0.3978013991,2.5532707855
"Altoona, PA MSA",-0.001076116,0.0407196433,0.0023317346,15090,62100,246.41,97.303537467,129563.4,0.6232063439,0.9793669711,0.0107860428,0.0008619904,0.0033828838,0.0056021118,0.0045787284,0.477002662,0.522997338,0.2318432912,0.0901844191,0.1273394151,0.1487665814,0.130401318,0.0988342333,0.0897091803,0.0829215616,0.0177806621,0.0538667294,0.0384074264,0.1510556971,0.2006056457,0.18493883,0.1460739943,0.1447392628,0.1341374207,0.2724916542,0.3331049676,0.1735900744,0.1398063221,0.0568067565,0.0242002252,0.7279211327,0.2720788673,0.2904292083,0.2606508401,0.4489199516,0.4447231362,0.9204179414,0.0058082908,0.0490826501,0.0246911176,0.0531449858,0.4014490821,0.3552742497,0.0940417106,0.0310017488,0.0198758768,0.0205212288,0.0598111568,0.1289504247,0.4958098383,0.1325101813,0.0543168625,0.0842446354,0.044356901,0.5525049174,0.0381706509,0.4085166664,0.3323460098,0.1758787976,0.1462520175,0.1134547706,0.0793662124,0.0688760742,0.048718963,0.0364785303,0.1272581161,0.1080872226,0.3620761318,0.3793170921,0.1116992219,0.0388203316,0.2443230485,0.5398933166,0.0340819616,0.0988569199,0.0828447533,1.6267470674,7.2807671817,10.419047619,15.576763485,33.510638298,0.7160952695,3237.6808511,376.83690987,0.9186469698,4.5541434887,0.6442808494,0.507484041,3.0128884215,552.42553191,3279.7021277,4.6243124807,1.8333652579,3.5203724625,1.9436615314,0.2248339594,1.7188275719
"Amarillo, TX MSA",0.0150941831,0.0370107375,0.013235292,16579,67330,114.49,43.300632963,208764.7,0.8287788398,0.8069562169,0.0570159257,0.0075236979,0.0176914742,0.1108126852,0.1776172804,0.4906043165,0.5093956835,0.2738176603,0.1092159119,0.1483418078,0.1518594177,0.1169836166,0.0824277563,0.0649587079,0.0523951215,0.018970677,0.0671882299,0.0819798562,0.1936112344,0.2179475413,0.1752634807,0.1290595619,0.1117622293,0.0918573819,0.2640504439,0.3257921207,0.1655076653,0.1430155072,0.0645080781,0.0371261848,0.6489688665,0.3510311335,0.7214188762,0.1615789105,0.1170022133,0.8099068396,0.9471619454,0.0048174668,0.0238629665,0.0241576212,0.0364766598,0.3837371801,0.4101469517,0.0912825959,0.0217915069,0.0168715805,0.0155359039,0.0720454502,0.1383635144,0.265919991,0.2582850834,0.0622959275,0.1375055233,0.0655845102,0.6167390388,0.0384030648,0.3439710535,0.3005878777,0.1686698705,0.13752169,0.107615312,0.0786405734,0.0829497047,0.0651907863,0.060288398,0.139430338,0.0597976674,0.3623269953,0.4129694219,0.1241348262,0.0407710892,0.2162531311,0.5471382311,0.0608779367,0.0670406962,0.1086900048,1.739236254,8.3969413994,15.930871956,17.304449649,31.825,0.5843984152,3949.525,518.73385013,0.5065272366,4.9006510141,0.4913396537,,,,,3.7224686618,2.6472759598,2.7537733113,2.8508492562,0.259683851,2.5911654052
"Anchorage, AK MSA",0.0140720971,0.0256987602,0.0137697075,23586.9,139520,147.37,53.723640628,250099.5,0.9012066046,0.7478353923,0.0601532567,0.0702500545,0.0532765012,0.0684847952,0.0520711689,0.5083441325,0.4916558675,0.2924376781,0.0986989888,0.1723066538,0.187272398,0.1351687946,0.064867754,0.0318853502,0.0173623825,0.0267530374,0.0715335594,0.0691047323,0.2332396901,0.2855367787,0.2223266651,0.1090907643,0.054572016,0.0273663247,0.232195,0.314336346,0.1815463956,0.1603751825,0.070260567,0.041286509,0.578860844,0.421139156,0.9640562783,0.0359437217,0,0.9640562783,0.8834118616,0.02175513,0.0598685543,0.0349644541,0.0326045866,0.3204105297,0.4515892949,0.1062041897,0.0223902591,0.0136001302,0.0182365557,0.0299248551,0.0668573628,0.2453119539,0.2943236875,0.0806445703,0.182731406,0.1002061644,0.6572482,0.0482711314,0.2444391513,0.1427190551,0.1167731902,0.1124183639,0.1109564898,0.0973985462,0.1258027749,0.1370974932,0.1599756792,0.0709386016,0.0635144633,0.3523156641,0.4121650351,0.1266855866,0.0453192509,0.2789523295,0.5266984894,0.0393694946,0.0306123933,0.1243672933,1.7570916987,14.314272322,20.421945137,15.488203267,48.902439024,0.5570988204,5547.2682927,656.92038835,0.4496304257,5.6477968109,0.4863147986,1.5937314939,2.6443313667,3544.5365854,5881.1219512,5.3215076876,4.230671375,4.2380628605,4.4765863181,0.7624525695,3.7141337486
"Ann Arbor, MI PMSA",0.0741849798,0.0435875539,0.0756000187,23489.9,143460,319.26,118.90704616,489996.3,0.63461223,0.847960223,0.085053784,0.0038635477,0.0386585386,0.0244639068,0.0274563142,0.4982847813,0.5017152187,0.2366199904,0.1490382557,0.1633502784,0.1640902525,0.1276054862,0.0740983876,0.0468964068,0.0383009423,0.0136559102,0.0478776148,0.0881927022,0.2159036607,0.2381438518,0.1954086527,0.1184946051,0.0802124976,0.0653258759,0.2558342827,0.3393748149,0.1650943397,0.1484544399,0.0603811901,0.0308609327,0.6559814706,0.3440185294,0.2346454574,0.2116010143,0.5537535282,0.330095414,0.869922714,0.0228258125,0.0734441425,0.033807331,0.0332558015,0.2744131414,0.3569617654,0.1695691585,0.0785348032,0.0406990672,0.0127589318,0.0309474285,0.0770595772,0.2262219163,0.2155474889,0.0662283587,0.2063207757,0.1776744547,0.6642399185,0.0278040286,0.3073144847,0.1844481029,0.1139198533,0.1134069889,0.1039277127,0.0925085786,0.1145243508,0.1222573271,0.1570055846,0.0881441004,0.0597531298,0.3253973801,0.4218509978,0.1379575309,0.0550409614,0.3392341512,0.5035331721,0.0277019133,0.0440924214,0.085438342,1.8330492071,8.404116209,15.004882813,19.371145374,23.405714286,0.6066431795,2550.6514286,520.6838565,0.9562470527,4.8741278344,0.5229400637,0.7353813049,2.4774120785,769.02857143,2590.7657143,4.2528677849,2.7576252506,3.2127933834,2.9309190736,0.371991032,2.5589280416
"Appleton--Oshkosh--Neenah, WI MSA",0.0129425722,0.0477401369,0.0169047545,19395.3,90120,246.93,93.131725117,345391.8,0.7147297216,0.9545762113,0.0062530366,0.009178096,0.017522213,0.0124704431,0.0152714835,0.4968448795,0.5031551205,0.2627827413,0.1027895756,0.1516761499,0.1650498156,0.1214014937,0.0793541575,0.0606919961,0.0562540703,0.0154996824,0.0444952388,0.0581785991,0.2000838919,0.2390728434,0.1819581796,0.1216425266,0.101302808,0.0987480363,0.2450034018,0.3418450319,0.1585638083,0.1564620647,0.0674667924,0.030658901,0.7099574007,0.2900425993,0.3058575416,0.3453642285,0.3487782299,0.4899510108,0.9109485781,0.008292357,0.0482038913,0.0325551736,0.0512200853,0.3878875306,0.3847463279,0.0962631108,0.0222121309,0.0125882405,0.0125274005,0.0582599181,0.0883989379,0.3907701674,0.1772246013,0.0774408298,0.1509073997,0.0569981458,0.6833617786,0.0249750056,0.2911691072,0.1886944754,0.1416776778,0.14457104,0.1312400489,0.1096828555,0.1187938161,0.0960555203,0.0708505264,0.0575764587,0.0562812597,0.3084448863,0.4529063539,0.1364213516,0.0459461484,0.258464472,0.5750353265,0.0295670059,0.0572701348,0.0796630608,1.8266005521,7.2019803642,12.055107527,16.280054645,62,0.6377351901,6277.7333333,385.23449319,0.4605733832,5.0739834378,0.6088634469,0.804506557,2.9291546022,1746.75,6359.8,3.7567819431,2.134036066,3.7336611592,2.3985203312,0.4345663395,1.9639539918
"Asheville, NC MSA",0.0259938501,0.0423921679,0.0285007621,17970.3,89180,223,91.747739865,210621.8,0.6372886139,0.9014560826,0.0728869599,0.003485734,0.0056899979,0.0164812255,0.0205874741,0.4791829741,0.5208170259,0.2195399201,0.0894540851,0.1407835816,0.1562290805,0.1374953571,0.0999417215,0.0834243208,0.0731319332,0.0153537844,0.0530951765,0.0487191331,0.1666644118,0.2068495812,0.18983367,0.1431962435,0.1309271246,0.1136106888,0.2806549645,0.3655145442,0.1697178768,0.1218773408,0.043211798,0.0190234758,0.7068002011,0.2931997989,0.2441675053,0.2095872254,0.5462452693,0.5351543148,0.9274447201,0.0085324239,0.0297330862,0.0342897698,0.0303366723,0.2763033231,0.4282289973,0.1598237611,0.037058581,0.0203642775,0.013594618,0.0769758251,0.1337095225,0.2895491783,0.1993723179,0.0716757832,0.1476576446,0.0810597284,0.6040975462,0.0292354828,0.3657664499,0.2902397061,0.1702056749,0.145666094,0.1115550301,0.0838304187,0.0784115328,0.0598965733,0.0597196331,0.1131515835,0.0835511214,0.3357581679,0.3887544324,0.1425704365,0.0493658418,0.2251904021,0.5456875964,0.0480570202,0.0825359541,0.0985290273,1.7594418596,9.2665865706,11.817615658,17.260368664,30.794520548,0.5733788334,3342.1780822,521.83138173,0.8402026615,4.9146100884,0.5706943851,,,,,3.6434295001,2.7108851132,3.6872811732,2.7737621973,0.2059302194,2.5678319779
