Name,Drive_Type,Mileage_mpg,Fuel_Type,Capacity_gal,Length_inches,Wheel_Base_inches,Width_inches,Turning_Circle_feet,Weight_lbs,Door_Top_inches,Luggage_cu_ft,Front_Shoulder_inches,Front_Leg_Room_inches,Front_Head_Room_inches,Rear_Shoulder_inches,Rear_Leg_Room_inches,Rear_Head_Room_inches
Acura Integra,Front,31,Regular,13.2,172,101,67,39,2635,47.5,13,51.5,41.5,2,46.5,25,0.5
Acura TL,Front,22,Premium,17.1,193,108,70,40,3460,50,14,56,40.5,2.5,55,27,2
Buick Century,Front,22,Regular,17.5,195,109,73,40,3350,50.5,17,58,44,5,57,30,2
Buick LeSabre,Front,20,Regular,17.5,200,112,74,42,3640,51,18,59.5,40.5,5,58,27.5,4.5
Buick Park Avenue,Front,21,Regular,18.5,207,114,75,43,3880,51,19,59.5,42.5,6,58.5,31.5,3
Buick Regal,Front,21,Regular,17.5,196,109,73,40,3325,50.5,17,58,43,5,56.5,29,2.5
Chevrolet Cavalier,Front,26,Regular,15.2,181,104,68,38,2795,50.5,14,54.5,41.5,4.5,53.5,28,2
Chevrolet Impala,Front,20,Regular,17,200,111,73,40,3495,51.5,18,58.5,42,5,58.5,29,2.5
Chevrolet Lumina,Front,22,Regular,16.6,201,108,73,44,3350,51,16,58.5,42.5,4.5,57,30,2
Chevrolet Malibu,Front,24,Regular,15.2,190,107,69,40,3075,50.5,17,55,43,4.5,54,30.5,2
Chevrolet Prizm,Front,31,Regular,13.2,175,97,67,34,2480,48,12,52.5,40.5,4,52,26.5,2
Chevrolet Venture,Front,19,Regular,25,201,120,72,42,3890,62,76,60,41,6,61.5,30,5.5
Chrysler 300M,Front,21,Regular,17,198,113,74,40,3620,49.5,17,59,40,3,57.5,30,2.5
Chrysler Cirrus,Front,22,Regular,16,186,108,72,39,3170,49,16,55,42,4,54.5,31,1.5
Chrysler Concorde,Front,21,Regular,17,209,113,74,41,3535,49,19,58.5,42,4,57,34,2
Chrysler Sebring Convertible,Front,21,Regular,16,193,106,70,42,3445,48.5,11,54.5,41.5,5,43.5,27,2
Chrysler Town & Country,Front,18,Regular,20,200,119,77,41,4050,60.5,76,62.5,41,5.5,64,29.5,5
Daewoo Lenganza,Front,24,Regular,15.8,184,105,70,41,3185,50,14,55.5,42.5,2.5,52.5,30,3.5
Daewoo Nubira,Front,24,Regular,13.7,175,101,67,37,2815,50,13,53.5,41,4.5,52.5,27.5,3
Dodge Intrepid,Front,22,Regular,17,204,113,75,40,3455,49,18,58.5,43,4.5,57,32.5,2.5
Dodge Stratus,Front,22,Regular,16,186,108,72,39,3170,49,16,55,42,4,54.5,31,1.5
Ford Contour,Front,22,Regular,14.5,185,107,69,40,3115,50.5,14,53.5,41.5,4.5,53,28,1
Ford Escort,Front,28,Regular,12.7,175,98,66,36,2585,49,13,51.5,40.5,4,52,27.5,1.5
Ford Taurus,Front,21,Regular,16,198,109,73,42,3340,50.5,17,58,41,6,57,29.5,3
Ford Windstar,Front,18,Regular,26,201,121,77,42,4150,61.5,67.5,61,40,4.5,63,30,6
Honda Accord,Front,25,Regular,17.1,189,107,70,40,3105,50.5,14,56.5,40.5,2,54.5,30,2.5
Honda CR-V,Front,24,Regular,15.3,178,103,69,38,3155,59,31,56,39.5,6,55,27,4.5
Honda Odyssey,Front,19,Regular,20,201,118,76,41,4245,62,67,63,40,6.5,64.5,29,5
